Blitzortung Lightning Monitor;https://f-droid.org/en/packages/org.blitzortung.android.app/;Simple to use map based application visualizing real time full area lightning data provided by the blitzortungorg lightning location network project The current thunderstorm situation at your fingertipsFeatures realtime display of lightning data display of historical lightning data of the last 24 hours for regions Europe North  South America Asia Africa and AustraliaNew Zealand lightning strike time color coded reduced data volume and fast response current lightning strike time and lightning count optional user location marker alert function shows distancedirection of storms background service for alerts support for notifications sound and vibration alarm single stroke display for blitzortungorg participantsPlease visit httpswwwblitzortungorg for more information regarding the community based lightning location projectThe raster display ensures a fast performance of the application even if there is a very high thunderstorm activity Blitzortungorg participants can visualize all stroke locations individuallyIf you would like to contribute to a translation of the software in your language please do not hesitate to contact the author of the software;https://f-droid.org/repo/org.blitzortung.android.app_286.apk;This version requires Android 4.0.3 or newer.;https://github.com/wuan/bo-android;https://github.com/wuan/bo-android/issues
GCompris;https://f-droid.org/en/packages/net.gcompris.full/;GCompris is a high quality educational software suite including a large numberof activities for children aged 2 to 10 Some of the activities are gameorientated but nonetheless still educational;https://f-droid.org/repo/net.gcompris.full_30200.apk;This version requires Android 4.1 or newer.;https://invent.kde.org/education/gcompris.git;https://bugs.kde.org/enter_bug.cgi?product=gcompris
TKCompanionApp;https://f-droid.org/en/packages/name.bresciani.marco.tkcompanionapp/;Goal of this app is to be a practical vademecumhandbook for those interested in applying scientific thinking through Toyota KataIt contains the Coaching Kata 5Q card plus possibly more things and informationContent to be improved and updated from time to time;https://f-droid.org/repo/name.bresciani.marco.tkcompanionapp_642.apk;This version requires Android 5.0 or newer.;https://codeberg.org/marco.bresciani/TKCompanionApp;https://codeberg.org/marco.bresciani/TKCompanionApp/issues
Fun With Kanji;https://f-droid.org/en/packages/krillefear.funwithkanji/;Simple Flutter app to learn Japanese writing systems Hiragana Katakana and KanjiWith Fun With Kanji you are able to learn all common used Japanese characters All starts with Hiragana Katakana and their special cases and combinations After this you learn the Kanji Radicals and then you are ready to start with the 2136 JAyAKanji You no longer need 4 different apps to learn themThe app also contains a dictionary and a fulltext search over all charactersFun With Kanji is open source under Mozilla Public License 20 Contributions and new translations are always welcome 3;https://f-droid.org/repo/krillefear.funwithkanji_27.apk;This version requires Android 5.0 or newer.;https://gitlab.com/KrilleFear/funny-kanji;https://gitlab.com/KrilleFear/funny-kanji/-/issues
wX;https://f-droid.org/en/packages/joshuatee.wx/;NWS  National Weather Service  data is optimized for mobile format and provided for divisions not normally covered together in the mobile space SPC WPC NHC OPC etc Level 3 and Level 2 Nexrad radar  single dual quad pane  are provided and displayed using the mobile variant of OpenGL This weather app is not affiliated with NOAA or the National Weather ServiceIf you only need current conditions and your local 7 day forecast then this app is probably more then you need although it will easily provide those 2 things as well If you are looking for wasted screen real estate or fancy graphics this app is not for you Given the depth of information covered there is a steep learning curve if you seek to use the program in its entirety help information is available and touched on below Common weather acronyms are used throughout so you should be familiar with those as well Currently United States locations are supported Canada is also supported but is be considered in Beta for nowHELP is available from the main menu and by tapping on any text in the settings activitiesFeatures Current forecast 7 day conditions sounding data for an unlimited number of locations from NWS Customizable home screen Android only Tiles can be rearranged by long press and then drag and drop on Tabs SPC MISC and IMAGES OpenGL based Nexrad radar interface with numerous options Level 2 in the lowest tilt for base reflectivityvelocity is also available 2 pane and 4 pane version also available in MISC tab Optimized text product viewer for easy access to AFDHWO and others from any NWS WFO VisIRWVRadar mosaic viewer  with animations  Widgets  nexrad radar radar mosaic vis afdhwo  SPC products  such as WatchesMCDsConvective OutlooksMesoanalysis  WPC products Weather models NHC productsNotifications Local alerts MCDs impacting your location MPDs impacting your location Convective outlooks for your location US MCDWatches US tornadoes US MCD US MPD NHC Atlantic and EPAC advisoriesNOTE about Canada Canadian locations can be added under Settings  Location  plus symbol but you need to access the options under the submenu You can also use the main search bar at the top but for now you must use a suggested location and cant add an arbitrary locationSee here for a list of often asked questions;https://f-droid.org/repo/joshuatee.wx_55787.apk;This version requires Android 6.0 or newer.;https://gitlab.com/joshua.tee/wx;https://gitlab.com/joshua.tee/wx/issues
DanXi;https://f-droid.org/en/packages/io.github.danxi_dev.dan_xi/;Maybe the best allrounded service app for Fudan University students Campus card balance and transactions Dining hall traffic Shortcut for Fudan QR Code with support for Apple Watch View empty classrooms Tree Hole View compulsoryexercise records View timetable and export as ics file Show Notices from Academic Affairs Office View exam schedule and export as ics file View final exam GPA and ranking View school bus scheduleCome to our website to know more about DanXi httpsdanxifduholecom;https://f-droid.org/repo/io.github.danxi_dev.dan_xi_335.apk;This version requires Android 5.0 or newer.;https://github.com/DanXi-Dev/DanXi/tree/foss-build;https://github.com/DanXi-Dev/DanXi/issues
taz;https://f-droid.org/en/packages/de.taz.android.app.free/;Reader for subscribers of the german daily newspaper taz die tageszeitungPlease note that the language of the app is german;https://f-droid.org/repo/de.taz.android.app.free_10700900.apk;This version requires Android 5.0 or newer.;https://github.com/die-tageszeitung/taz-neo;https://github.com/die-tageszeitung/taz-neo/issues
Show Articles in Map;https://f-droid.org/en/packages/de.k3b.android.geo2articlesmap/;Note You must also install Location Map Viewer to display the resultsThis app adds the option Show Articles in Map to any app that can shownsendshare a geo location or geouri This app hooks into the android system to intercept view geouri When getting a geouri it asksencyclopedia wikipedia  or travelguide wikivoyage or knowledgebase wikidata or photogallery wikimediaand shows the results inLocation Map Vieweror in any other installed app that understands the format kmzLocation Map Viewer shows a map with bubbles or articleicons if enabledavailable for every wikipedia article foundIf you click on a bubble you get a popup with a short article description and a button that links to the full articleHere are some fdroid apps that are compatible with Show Articles in Mapnavigation OsmAndpublic transportation Transportr or oeffitranslate postal address to geo Acastus Photon Share your current position LocationShare or My PositionRequired Android PermissionsINTERNET to download article data from wikipedia or wikivoyage Server;https://f-droid.org/repo/de.k3b.android.geo2articlesmap_6.apk;This version requires Android 4.4 or newer.;https://github.com/k3b/AndroidGeo2ArticlesMap;https://github.com/k3b/AndroidGeo2ArticlesMap/issues
CTU Menza;https://f-droid.org/en/packages/cz.lastaapps.menza/;This Android app shows dish menus for CTU cafeterias from agatasuzcvutcz web in much more pleasant and usable way for phonesIt shows today and week menu opening hours contacts announcements and address for all the canteensIt supports dark mode and Material You including Android 12 dynamic theming;https://f-droid.org/repo/cz.lastaapps.menza_1020500.apk;This version requires Android 5.0 or newer.;https://github.com/Lastaapps/menza;https://github.com/Lastaapps/menza/issues
TransektCount;https://f-droid.org/en/packages/com.wmstein.transektcount/;TransektCount serves transect counters on their inspection walks It supports speciesspecific counting of butterflies per transect section according to the European Butterfly Monitoring Scheme methodFeatures Data recording is organized according to a single transect inspection with a database instance per inspection Databases can be individually created and adapted within the app regarding meta data transect sections and expected butterfly species You may use an individual species list per transect section It contains a prepared basic database with most of the expected species as a starting point Editor for the transect sections to setup or adapt its species Add new species to the list by scrolldownselection from a comprehensive internal species list  Editor for meta data to prepare an inspection Editor for species remark or bulk count entry Counting page with scroll menu to select species Count input per internalexternal counting area and here each with separate counters for a or a a a pupa larva or egg Results are prepared for easy readout to transfer them to science4you entry masks Results are shown with meta data remarks totals and species results per transect section Results may also be exported in SQLite or CSVformat and transferred to a PC for your own processing eg by importing a csvfile into a spreadsheet like MS Excel Help contains a detailed userguidePrerequisitesThe app demands for  storage access permit which is needed for imexporting the counting data  the permit to write settings for setting the screen brightness  the permit to prevent the phone from sleeping to control the counting screen when used under Android 501 or newerThe smartphone screen should have a minimum resolution of 1920 x 1024 pixels The app is usable with Android version 44 KitKat or newerDocumentation is provided under  httpsgithubcomwisteinTransektCounttreemasterdocsTransektCount is one of two apps for European butterfly monitoring The 2nd app TourCount supports speciesspecific and individually GPSlocalized counting of butterflies on any tour in nature Both apps use the coding scheme of KarsholtRazowski for European butterflies and thus contain only European butterfly pictures;https://f-droid.org/repo/com.wmstein.transektcount_336.apk;This version requires Android 4.4 or newer.;https://github.com/wistein/TransektCount;https://github.com/wistein/TransektCount/issues
