My Expenses;https://f-droid.org/en/packages/org.totschnig.myexpenses/;My Expenses keeps track of your expenses and your income directly on your smartphone and on your tablet Up to five accounts with transfers also between different currencies Unlimited number of templates and up to three plans for recurring transactions Export to QIF and CSV Import from QIF Data can be protected by password or device lock screen Theme dark and light and font size can be customized Reconciliation Easily compare transaction status with your bank statements Homescreen widget and shortcuts for quick data entryPremium features are unlocked by purchase of one of the following licence keysContrib Key No ads Unlimited number of accounts Unlimited number of plans for recurring transactions Pie chart Visualize the statistical distribution of transactions per category over different periods years months weeks days Split transaction A single transaction can be split into multiple parts categories and transfers Print the transaction list to a PDF file Image attachment Capture via camera or select from galleryExtended Key All features of Contrib Key Cloud synchronization Data can be synced between multiple devices Webdav Dropbox Daily automated backup with optional upload to cloud storage Sophisticated customizable CSV import spreadsheet applicationsProfessional Key All features of Extended Key Budgeting Compare your spending to limits you set per category on a daily weekly monthly or yearly basis History chart Cash flow Scan receipts Automatically extract amount date and payee Web User Interface Unlimited number of templates and plans for split transactions Email support with guaranteed response within 2 business days Voting right on development roadmapMy Expenses requires the following permissions Calendar Plans for future and recurrent transactions are stored either in a special local calendar or in any other calendar you assign Internet Licence key validation Cloud synchronization Accounts Synchronization across devices via cloud services;https://f-droid.org/repo/org.totschnig.myexpenses_603.apk;This version requires Android 5.0 or newer.;https://github.com/mtotschnig/MyExpenses;https://github.com/mtotschnig/MyExpenses/issues
Haircomb;https://f-droid.org/en/packages/org.bitbucket.watashi564.combapp/;Haircomb is a crypto currency token which runs on the bitcoin blockchain and claims to be quantum resistantIt was founded in 2019 and was enhanced ever since This is a full featured package containingHaircomb Core  the reference implementation of the consensus including a currency walletComb Downloader  Used to fully synchronize Haircomb Core with the Bitcoin blockchainFeatures of the Haircomb CoreStealth addresses allowing virtually unlimited receiving addresses for your key pairLiquidity stacks to pay to any number of recipients each time you transactMerkle contracts  offer advanced use cases like a comb trade amount decided later payment and auctionTestnet  to experiment with tokens that have no value requires sync with the bitcoin testnetLow memory mode  reduced RAM usage the wallet starts more slowly in this modeFeatures of the Comb DownloaderAccelerator sync synchronizes you faster to the accelerator recommended by another user;https://f-droid.org/repo/org.bitbucket.watashi564.combapp_4.apk;This version requires Android 4.4 or newer.;https://bitbucket.org/watashi564/combapp;https://bitbucket.org/watashi564/combapp/issues
Monly;https://f-droid.org/en/packages/org.asafonov.monly/;Monly is an awesome budget planner It supports transactions loggingbudgets reports synchronization across your devices and a lot of other featuresMonly is distributed so every device has its own copy of data You may loosea device but not your data;https://f-droid.org/repo/org.asafonov.monly_44.apk;This version requires Android 5.0 or newer.;https://github.com/asafonov/monly.apk;https://github.com/asafonov/monly.apk/issues
Unstoppable Wallet;https://f-droid.org/en/packages/io.horizontalsystems.bankwallet/;Unstoppable wallet is purposely built as a decentralized management tool for cryptocurrenciesIt is engineered to serve privacyconscious individuals looking to manage and invest in cryptocurrencies in a sovereign and professional mannerUnstoppable is built with the following in mind Capital Should Be Free  Itas built to provide users with genuinely independent control over their capital Capital Should Be Borderless  It works outside the traditional finance layer and acts as a Swiss knife to the world of decentralized finances DeFi Capital Should Be Private  It doesnat leak private data it has no means to track users and takes extra measures to ensure privacy on multiple layersIf the above rhymes well with you then Unstoppable is for you And we are here to focus on your unique needs and serve you in the best possible mannerIf youre merely looking for a plain way to store Bitcoin or Ethereum this app might not be for youWALLET FEATURES NonCustodial Multiwallet  Manage any number of cryptocurrencies across multiple portfoliostyle wallets in a noncustodial manner This wallet is like your own bank where you are the only client and the only one in charge Itas designed to keep assets secure and easy to restore even if the phone is stolen and tampered with Investment Oriented Wallet  Unstoppable brings unmatched cryptocurrency market analytics to your device advanced sorting curated categorization extensive search filtering and eventbased alerting features Universal Wallet  It supports all mainstream blockchains and is built in a standard compliant manner enabling users to use just one wallet app for everything crypto A Bitcoin Wallet  The wallet packs some of the most advanced Bitcoin features available SPV enabled BIP 44498469 compliant Bitcoin timelocks custom transaction fees and more A DeFi Wallet  Full support for decentralized token swaps on Ethereum Binance Smart Chain Avalanche Solana and more Also the ability to interact with any smart contractpowered service on the blockchain via the WalletConnect protocol Ethereum Wallet  Full support for Ethereum blockchain its growing ecosystem of tokens ERC20 NFT tokens etc and other decentralized services such as ENS Ethereum Name Service Ethereum L2 Wallet  Artbitrum Optimism Polygon support Avalanche Wallet  Full support for Avalanche CChain blockchain Binance Wallet  Full support for original Binance Chain incl BEP2 and Binance Smart Chain NFT Wallet  Full support for Non Fungible tokens NFTs Crypto Academy  The app includes two courses meant to onboard newcomers into the world of cryptocurrencies and the DeFi ecosystem in an easytodigest manner covering essential aspects of cryptocurrency security storage privacy transacting and exchanging Wallet for Privacy Coins  Fully supports major privacy coins ZCash DASH in an SPV manner One of the very few wallets capable of supporting fully shielded Zcash transactions as well as the ability to privatize Bitcoin transactions Decentralized Wallet  Designed to work with most major blockchains in a decentralized manner where an app doesnt depend on some server of a wallet provider to sendreceive transactions but interacts with blockchain networks directly Privacy Focused  Designed to allow for privacy even in the most privacybreaching scenarios There are no user accounts keeping your records no identity checks that risk exposing your financials to the world and no interaction with traditional finance layers The app is partially TOR enabled and VPN support is coming soon Fully Open Source  The most transparent wallet application built to date The entire 4year production process of the app is openly accessible online along with 100 of its code for anyone to evaluate or reuse in other projects Verified and audited by third partiesBe Unstoppable  ;https://f-droid.org/repo/io.horizontalsystems.bankwallet_75.apk;This version requires Android 8.1 or newer.;https://github.com/horizontalsystems/unstoppable-wallet-android;https://github.com/horizontalsystems/unstoppable-wallet-android/issues
GreenStash;https://f-droid.org/en/packages/com.starry.greenstash/;GreenStash is a simple android app to help you plan and manage your savings goals easily and establish the habit of saving moneyFeatures Clean  beautiful UI based on Googles material design three guidelines Add images to your saving goals to keep you motivated View how much you need to save dailyweeklymonthly to achieve your goal before deadline View detailed transaction withdrawdeposit history Supports around 100 local currency symbols Inbuilt biometric app lock to keep your financial data safe and secure Fully offline GreenSStash doesnt require internet permission to work Compatible with Android 70 and above API 24 Supports Material You theming in devices running on Android 12 Comes in both light and dark mode;https://f-droid.org/repo/com.starry.greenstash_22.apk;This version requires Android 7.0 or newer.;https://github.com/Pool-Of-Tears/GreenStash;https://github.com/Pool-Of-Tears/GreenStash/issues
Invoice Ninja;https://f-droid.org/en/packages/com.invoiceninja.app/;Invoice Ninja is an invoicing application that makes sending invoices and receiving payments simple and easy Our latest version is a clean slate rewrite of our popular invoicing application which builds on the existing feature set and adds a wide range of features and enhancements that you have asked forWere similar to WordPress you can either run the app on our server hosted or on your own server selfhosted a the serverpart is built with PHPLaravel many people use Docker or Cloudron to install a packaged version but you also can install it manually;https://f-droid.org/repo/com.invoiceninja.app_113.apk;This version requires Android 4.4 or newer.;https://github.com/invoiceninja/admin-portal;https://github.com/invoiceninja/admin-portal/issues
OpenMoneyBox;https://f-droid.org/en/packages/com.igisw.openmoneybox/;OpenMoneyBox is an application designed to manage small personal money budgets in the easiest way;https://f-droid.org/repo/com.igisw.openmoneybox_51.apk;This version requires Android 4.1 or newer.;https://gitlab.com/igi0/openmoneybox;https://gitlab.com/igi0/openmoneybox/issues
AgoraDesk: buy BTC anonymously;https://f-droid.org/en/packages/com.agoradesk.app/;Buy or sell Bitcoin without ID verification Cash or onlineWondering how to invest in Bitcoin On AgoraDesk purchasing bitcoins has never been easier  instantly buy BTC from a person using your favorite online payment method PayPal creditdebit card or bank transfer gift cards Venmo or any other If you want to buy bitcoins near you with cash you can find someone willing to sell bitcoins locally  the trading platform supports buying and selling BTC with cash You can even buy bitcoins using cash by mail Safe and Smooth TradingJust like LocalBitcoins we support any payment method any currency anywhere We do not remove payment methods and unlike LocalBitcoins we fully support facetoface cash trades All of our trades are protected by an arbitration bond Thanks to the fact that we require funds to be held in arbitration bond before a trade can start we ensure a smooth and safe experience for the buyer which is essential for the popularity of the platform and repeat customers for the sellers No KYCAML or ID VerificationAgoraDesk is committed to maintaining the simplicity and straightforwardness that made the original LocalBitcoins so popular We do not employ KYCAML nor do we ever plan on doing so Trusted by the CommunityOur platform has operated for over four years survived the Great Cryptocurrency Market Crash of 2018 and through its communityoriented diligent service became one of the most trusted names in the extremely skeptical cryptocurrency community Secure Open Source PrivacyCentric CensorshipResistantOur app is free and open source which ensures that many eyes are looking at the apps code to ensure that there are no security holes or privacy leaks Open sourcing our app also allows anyone to have access to our app even if a certain app repository censors the app Our app even works on phones that have Google completely blocked We value your privacy so much we donat even require you to provide an email when registeringSource code httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossIssue tracker httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossissues Stellar SupportOur support team is fast responsive and always eager to please Weave never had a support ticket that wasnat answered within 24 hours We are always easily reachable through social media we listen intently to your criticisms and we always implement good user suggestions in record timeYou can reach our support at httpsagoradeskcomsupport Fair FeesWe do not charge exorbitant fees when you deposit or withdraw Bitcoins tofrom our arbitration bond wallet There is no deposit fee and the withdrawal fee is very close to the fee youad be paying on a normal transaction;https://f-droid.org/repo/com.agoradesk.app_923.apk;This version requires Android 5.0 or newer.;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/issues
LocalMonero: buy XMR privately;https://f-droid.org/en/packages/co.localmonero.app/;Buy or sell Monero without ID verification Cash or online Safe fast easyLocalMonero is the biggest most trusted and wellestablished P2P trading platform in the XMR community We have no KYC checks  you can simply buy Monero anonymously without ID verification with PayPal credit card gift card cash by mail or convert Bitcoin Ether USDT or any other crypto coin to Monero  our platform supports any payment method Safe and Smooth TradingWe support any payment method any currency anywhere We do not remove payment methods and we fully support facetoface cash trades All of our trades are protected by an arbitration bond Thanks to the fact that we require funds to be held in arbitration bond before a trade can start we ensure a smooth and safe experience for the buyer which is essential for the popularity of the platform and repeat customers for the sellers No KYCAML or ID VerificationLocalMonero is committed to maintaining the simplicity and straightforwardness of your trading experience We do not employ KYCAML nor do we ever plan on doing so Trusted by the CommunityOur platform has operated for over four years survived the Great Cryptocurrency Market Crash of 2018 and through its communityoriented diligent service became one of the most trusted names in the extremely skeptical Monero community Secure Open Source PrivacyCentric CensorshipResistantOur app is free and open source which ensures that many eyes are looking at the apps code to ensure that there are no security holes or privacy leaks Open sourcing our app also allows anyone to have access to our app even if a certain app repository censors the app Our app even works on phones that have Google completely blocked We value your privacy so much we donat even require you to provide an email when registeringSource code httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossIssue tracker httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossissues Stellar SupportOur support team is fast responsive and always eager to please Weave never had a support ticket that wasnat answered within 24 hours We are always easily reachable through social media we listen intently to your criticisms and we always implement good user suggestions in record timeYou can reach our support at httpslocalmonerocosupport Fair FeesWe do not charge exorbitant fees when you deposit or withdraw Monero tofrom our arbitration bond wallet There is no deposit fee and the withdrawal fee is very close to the fee youad be paying on a normal transaction;https://f-droid.org/repo/co.localmonero.app_921.apk;This version requires Android 5.0 or newer.;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/issues
Lightning Address to Invoice;https://f-droid.org/en/packages/ua.com.radiokot.lnaddr2invoice/;Some popular Bitcoin Lightning wallets like Muun dont support emaillike Lightning addresses This app allows paying to such addresses by turning them to convenient invoicesTo use the app click on the Lightning address link like tip or zap in Nostr and select LN Address to Invoice app Follow the instructions and then pay the invoice with your favorite wallet The app doesnt add any extra fee to your payment;https://f-droid.org/repo/ua.com.radiokot.lnaddr2invoice_3.apk;This version requires Android 5.0 or newer.;https://github.com/Radiokot/ln-addr-to-invoice;https://github.com/Radiokot/ln-addr-to-invoice/issues
