Brume Wallet;https://f-droid.org/en/packages/eth.brume.wallet/index.html;Meet the only Ethereum wallet with maximum privacy and security;https://f-droid.org/repo/eth.brume.wallet_520.apk;This version requires Android 9.0 or newer.;https://github.com/brumewallet/wallet;https://github.com/brumewallet/wallet/issues;0.6.520;have full network access <-> eth.brume.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
BitBanana;https://f-droid.org/en/packages/app.michaelwuensch.bitbanana/index.html;ai  Superpowers for you and your bitcoin lightning node Use and manage your node wherever you are ai BitBanana is a native android app for node operators focused on user experience and ease of useWhile it is not a wallet on its own BitBanana works like a remote control allowing you to use your node as a wallet wherever you goThe app is designed with an educational approach providing the user with guidance on every aspect of node operationBitBanana is open source and fully selfcustodial which means you are in full control or your fundsFeatures Manage multiple nodes Onchain transactions and lightning payments Channel management Routing summary Contacts SignVerify NFC support Tor support 100 open source and many other features to exploreThe source code can be found athttpsgithubcommichaelWuenschBitBanana;https://f-droid.org/repo/app.michaelwuensch.bitbanana_61.apk;This version requires Android 8.0 or newer.;https://github.com/michaelWuensch/BitBanana;https://github.com/michaelWuensch/BitBanana/issues;0.8.4;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> app.michaelwuensch.bitbanana.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> com.wireguard.android.permission.CONTROL_TUNNELS <-> 
MoneyBuster;https://f-droid.org/en/packages/net.eneiluj.moneybuster/index.html;Moneybuster is a shared budget manager able to synchronize with IHateMoney and Nextcloud CospendWhats different from other shared budget managersYou can keep your project local or make it synchronize with IHateMoney and Nextcloud Cospend projectsThis means you can choose where your data is going and preserve your privacy Features manage projects addremovecreatedeleteedit manage members addremoveedit manage bills addremoveedit search bills by payer name amount date project statistics project settlement plan share statistics and settlement plan dark theme and customizable main app color shareimport projects with linkQRCode multilingual userinterface translated on Crowdin httpscrowdincomprojectmoneybuster RequirementsIf you want to host a project in IHateMoney  IHateMoney instance runningIf you want to host a project in Nextcloud Cospend  Nextcloud instance running with Cospend app installedIf you want to be able to create remote projects from MoneyBuster  enable public project creation on your IHateMoney or Nextcloud Cospend instanceThe app runs on Android5 AlternativesTricount Cospender Splitwise etc which are not FOSS and force you to give away your private data;https://f-droid.org/repo/net.eneiluj.moneybuster_39.apk;This version requires Android 8.0 or newer.;https://gitlab.com/eneiluj/moneybuster;https://gitlab.com/eneiluj/moneybuster/issues;0.1.19;view network connections <-> take pictures and videos <-> run foreground service <-> run foreground service with the type "dataSync" <-> find accounts on the device <-> have full network access <-> show notifications <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> net.eneiluj.moneybuster.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
GreenStash: Track Your Savings;https://f-droid.org/en/packages/com.starry.greenstash/index.html;GreenStash is a straightforward opensource and privacyfriendly app designed to assist you in effortlessly planning and managing your saving goals fostering the habit of saving money for better things Features  Highlightsa Clean and beautiful UI based on Googles Material3 Design guidelinesa Add images to your savings goals to maintain motivationa Monitor the daily weekly or monthly amount required to achieve your goal by the deadlinea Track detailed transaction history withdrawalsdepositsa Receive daily semiweekly or weekly reminders for your savings goals based on prioritya Supports approximately 100 local currency symbolsa Builtin biometric app lock ensures the safety and security of your financial dataa Completely offline functionality GreenStash operates without requiring internet permissiona Compatible with the Material You theme on devices running Android 12a Available in both light and dark mode;https://f-droid.org/repo/com.starry.greenstash_381.apk;This version requires Android 7.0 or newer.;https://github.com/Pool-Of-Tears/GreenStash;https://github.com/Pool-Of-Tears/GreenStash/issues;3.8.1;show notifications <-> run at startup <-> use biometric hardware <-> use fingerprint hardware <-> com.starry.greenstash.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Simple Crypto Widget;https://f-droid.org/en/packages/com.brentpanther.bitcoinwidget/index.html;A clean and simple cryptocurrency widget Customizable refresh interval Very light battery usageShows the current price from over 80 different exchangesIf youd like to see an exchange that is not in the list please let me knowFeedback is welcome;https://f-droid.org/repo/com.brentpanther.bitcoinwidget_331.apk;This version requires Android 6.0 or newer.;https://github.com/hwki/SimpleBitcoinWidget;https://github.com/hwki/SimpleBitcoinWidget/issues;8.5.6;view network connections <-> run foreground service <-> have full network access <-> run at startup <-> prevent phone from sleeping <-> com.brentpanther.bitcoinwidget.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
BitAC - Bitcoin Address Checker;https://f-droid.org/en/packages/ademar.bitac/index.html;Bitcoin Address Checker BitAC is an opensource application designed to be lightweight and fast The idea is to provide to Android users an easy and quick way to check the balance of bitcoin addressesThis application does not prove and is not intended to provide any functionality of a bitcoin wallet so you can not receive send or save bitcoins with BitAC you can only check how many bitcoins a wallet has;https://f-droid.org/repo/ademar.bitac_8.apk;This version requires Android 7.0 or newer.;https://gitlab.com/ademar111190/BitAC;https://gitlab.com/ademar111190/BitAC/-/issues;1.2.0;ademar.bitac.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> view network connections <-> take pictures and videos <-> have full network access <-> 
Status: Crypto Wallet, Messenger, Ethereum Browser;https://f-droid.org/en/packages/im.status.ethereum/index.html;Status combines a private messenger secure crypto wallet and Ethereum Web3 DApp browser into one powerful communication tool Chat with friends and growing communities Buy sell store and exchange digital assets Browse the decentralized internet without being exploited for your dataStatus is your operating system for EthereumPRIVATE MESSENGERSend private 11 private group and public chats without unnecessary middlemen in your communication Status is a text app that removes centralized choke points from your messages for greater privacy and secure messaging An encrypted messaging app with endtoend encryption and privacy by default so nobody other than you and your intended recipient can view your messages a not even Status Some consider it a secret messengerPEERTOPEER BORDERLESS PAYMENTSSeamlessly integrated with the cryptocurrency wallet the Status Messenger enables anyone anywhere to send global payments directly in a chatSECURE ETHEREUM WALLETThe Status crypto wallet allows you to securely send store trade and exchange ethereum assets such as ETH SNT stable coins such as DAI as well as NFTs Confidently take control of your cryptocurrency and digital assets with this ethereum wallet app The Status blockchain wallet currently only supports ERC20 and ERC721 assets it does not support BitcoinEARN WITH DEFIPut your crypto to work with the latest decentralized finance apps and decentralized exchanges DEX such as Maker Aave Uniswap Synthetix PoolTogether Zerion Kyber and moreWEB3 DAPP BROWSERBrowse the secure web and access the growing ecosystem of decentralized applications with the secure browser Status enables access to more than just DeFi a explore the latest marketplaces collectibles games and social networks such as SuperRare Gitcoin Dragonereum Axie Infinity Open Sea CryptoKitties Decentraland and moreCONNECT WITH YOUR COMMUNITYExplore connect and chat with your favorite communities and friends Whether it is a small group of friends an artist collective crypto traders or the next big organization  text and communicate with Status communitiesSOCIAL FEEDSShare whatas on your mind and post updates with your contacts in a truly censorship resistant stateoftheart decentralized social networkPRIVATE ACCOUNT CREATIONStay private with pseudoanonymous account creation When creating your free account you will NEVER have to enter a phone number email address or bank account Your wallet private keys are locally generated and stored to ensure only you have access to your funds and financial transactions;https://f-droid.org/repo/im.status.ethereum_2024071713.apk;This version requires Android 6.0 or newer.;https://github.com/status-im/status-mobile;https://github.com/status-im/status-mobile/issues;1.20.6;access precise location only in the foreground <-> view network connections <-> view Wi-Fi connections <-> take pictures and videos <-> android.permission.DOWNLOAD_WITHOUT_NOTIFICATION <-> run foreground service <-> have full network access <-> control Near Field Communication <-> read the contents of your shared storage <-> run at startup <-> record audio <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> 
Who Has My Stuff?;https://f-droid.org/en/packages/de.freewarepoint.whohasmystuff/index.html;Did you ever search for a book wondering who might have borrowed it from youDo you often forget how much money people are owing you Now you can keep trackof your lent things with this very simple application It lets you define adescription date and contact person from your address book for each object;https://f-droid.org/repo/de.freewarepoint.whohasmystuff_42.apk;This version requires Android 5.0 or newer.;https://gitlab.com/stovocor/whohasmystuff;https://gitlab.com/stovocor/whohasmystuff/issues;1.1.2;read your contacts <-> de.freewarepoint.whohasmystuff.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
KitchenOwl;https://f-droid.org/en/packages/com.tombursch.kitchenowl/index.html;KitchenOwl is a smart selfhosted grocery list and recipe managerEasily add items to your shopping list before you go shoppingYou can also create recipes and get suggestions on what you want to cookTrack your expenses so you know how much youve spend;https://f-droid.org/repo/com.tombursch.kitchenowl_97.apk;This version requires Android 5.0 or newer.;https://github.com/TomBursch/kitchenowl;https://github.com/TomBursch/kitchenowl/issues;0.5.2;have full network access <-> read the contents of your shared storage <-> com.tombursch.kitchenowl.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
My Expenses;https://f-droid.org/en/packages/org.totschnig.myexpenses/index.html;My Expenses is your ultimate tool for effortless expense tracking and financial management right at your fingertipsKey Features    a Effortless Expense Tracking Keep tabs on your expenses and income seamlessly whether youre on your smartphone or tablet    a Flexible Account Management Effortlessly manage multiple accounts including transfers between different currencies    a Streamlined Financial Planning Easily set up plans for recurring transactions    a Seamless Data Management Export and import data with ease using QIF and CSV formats    a Enhanced Security Protect your data with password or device lock screen security    a Customizable Experience Tailor the app to your preferences with customizable themes and font sizes    a Bank Statement Reconciliation Easily compare transaction status with your bank statements for accurate financial tracking    a Quick Data Entry Enjoy convenient access with homescreen widgets and shortcuts    a Powerful Data Analysis Filter your data based on various criteria and visualize distribution and historical trends with dynamic graphsUnlock Premium Features    a Contrib Key Say goodbye to ads and unlock unlimited accounts recurring transaction plans and more    a Extended Key Enjoy cloud synchronization automated backups and sophisticated CSV imports    a Professional Key Take your financial management to the next level with budgeting tools receipt scanning and email supportMy Expenses requires the following permissions    a Calendar Plans for future and recurrent transactions are stored either in a special local calendar or in any other calendar you assign    a Internet Anonymous usage tracking Crash reports Cloud synchronization    a Accounts Synchronization across devices via cloud servicesTake control of your finances like never before using My Expenses;https://f-droid.org/repo/org.totschnig.myexpenses_748.apk;This version requires Android 5.0 or newer.;https://github.com/mtotschnig/MyExpenses;https://github.com/mtotschnig/MyExpenses/issues;3.8.7;view network connections <-> view Wi-Fi connections <-> android.permission.AUTHENTICATE_ACCOUNTS <-> run foreground service <-> run foreground service with the type "specialUse" <-> find accounts on the device <-> have full network access <-> android.permission.MANAGE_ACCOUNTS <-> control Near Field Communication <-> show notifications <-> Read calendar events and details <-> read the contents of your shared storage <-> read sync settings <-> read sync statistics <-> run at startup <-> android.permission.USE_CREDENTIALS <-> prevent phone from sleeping <-> add or modify calendar events and send email to guests without owners' knowledge <-> modify or delete the contents of your shared storage <-> toggle sync on and off <-> install shortcuts <-> org.totschnig.myexpenses.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Veil - Privacy focused wallet;https://f-droid.org/en/packages/org.veilproject.wallet/index.html;Veil  Privacy without compromiseVeil is creating an encrypted equivalent of the cash economy where privacy is the most convenient choice Learn more download the wallet and join the journey PRIVACY BY DEFAULTPrivacy should not be optional Veil aims to make fulltime privacy the most convenient choiceINCENTIVIZED PARTICIPATIONBy holding Veil our users not only contribute to broadly distributed network security but earn staking rewards a anonymouslyFAIR LAUNCHNo ICO No premine Veils blockchain is secured via ProofofWork and ProofofStake in order to combine both security and fair distributionUSERFOCUSEDIn a digital cash society participation extends to everybody not just those who read user manuals Veil aims to be one of the most userfriendly wallets in cryptoSELFSUSTAININGThe Veil network includes builtin selffunding for project development operations customer support and ongoing research and developmentFUTURESAFEVeil will continue to push the limits of cryptography and blockchain technology through Veil Labs an entity dedicated to RD and partnerships with leading academic institutionsProject websitehttpsveilprojectcomSource codehttpsgithubcomsteel97veilwalletDiscordhttpsdiscordveilprojectcom;https://f-droid.org/repo/org.veilproject.wallet_273.apk;This version requires Android 6.0 or newer.;https://github.com/steel97/veil_wallet;https://github.com/steel97/veil_wallet/issues;1.0.21;take pictures and videos <-> have full network access <-> read the contents of your shared storage <-> use biometric hardware <-> use fingerprint hardware <-> org.veilproject.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
