Brume Wallet;https://f-droid.org/en/packages/eth.brume.wallet/index.html;Meet the only Ethereum wallet with maximum privacy and security;https://f-droid.org/repo/eth.brume.wallet_520.apk;This version requires Android 9.0 or newer.;https://github.com/brumewallet/wallet;https://github.com/brumewallet/wallet/issues;0.6.520;have full network access <-> eth.brume.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
VAT Calculator;https://f-droid.org/en/packages/biz.binarysolutions.vatcalculator/index.html;Calculate VAT for any country in the world;https://f-droid.org/repo/biz.binarysolutions.vatcalculator_10.apk;This version requires Android 5.0 or newer.;https://github.com/vbresan/VAT_Calculator;https://github.com/vbresan/VAT_Calculator/issues;2.0.4;biz.binarysolutions.vatcalculator.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Dash Wallet;https://f-droid.org/en/packages/hashengineering.darkcoin.wallet/index.html;Note This is a fork of httpsgithubcomdashpaydashwallet build only from FOSS componentsHave your Dash always with you in your pocket You pay by quickly scanning a QRcode As a merchant you receive payments reliably and instantly Dash Wallet isthe first mobile Dash app and arguably also the most secureFEATURES No registration web service or cloud needed This wallet is decentralized and peer to peer Display of Dash amount in DASH mDASH and ADASH Conversion to and from national currencies Sending and receiving of Dash via NFC QR codes or Dash URLs Address book for regularly used Dash addresses When youre offline you can still pay via Bluetooth System notification for received coins Sweeping of paper wallets eg those used for cold storage App widget for Dash balanceCONTRIBUTEAll translations are managed via TransifexhttpswwwtransifexcomdashdashwalletYou can find more about Dash at httpswwwdashorgTESTIMONIALS A recommended mobile wallet by httpswwwdashorgUse at your own risk;https://f-droid.org/repo/hashengineering.darkcoin.wallet_101010.apk;This version requires Android 7.0 or newer.;https://github.com/HashEngineeringSolutions/dash-wallet;https://github.com/HashEngineeringSolutions/dash-wallet/issues;10.1.1;access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> pair with Bluetooth devices <-> take pictures and videos <-> run foreground service <-> have full network access <-> control Near Field Communication <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> hashengineering.darkcoin.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Bitcoin Wallet [testnet3];https://f-droid.org/en/packages/de.schildbach.wallet_test/index.html;A Bitcoin wallet allowing you to store send and receive Bitcoins on yourdevice both via QR codes and NFC This is a test version ofdeschildbachwallet that uses the test Bitcoin network not the real one;https://f-droid.org/repo/de.schildbach.wallet_test_101500.apk;This version requires Android 8.0 or newer.;https://github.com/bitcoin-wallet/bitcoin-wallet;https://github.com/bitcoin-wallet/bitcoin-wallet/issues;10.15;view network connections <-> pair with Bluetooth devices <-> connect to paired Bluetooth devices <-> take pictures and videos <-> run foreground service <-> run foreground service with the type "connectedDevice" <-> run foreground service with the type "dataSync" <-> have full network access <-> control Near Field Communication <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> control vibration <-> prevent phone from sleeping <-> 
Bitcoin Wallet;https://f-droid.org/en/packages/de.schildbach.wallet/index.html;Have your Bitcoins always with you in your pocket You pay by quickly scanninga QR code As a merchant you receive payments reliably and instantly BitcoinWallet is the first mobile Bitcoin app and arguably also the most secure No registration web service or cloud needed This wallet is decentralized and peer to peer Display of Bitcoin amount in BTC mBTC and ABTC Conversion to and from national currencies Sending and receiving of Bitcoin via NFC QR codes or Bitcoin URLs Address book for regularly used Bitcoin addresses When youre offline you can still pay via Bluetooth System notification for received coins Sweeping of paper wallets eg those used for cold storage App widget for Bitcoin balanceSee theREADME for more details Use this at your own risk and be wary that if youdont make a backup of the private keys you will no longer be able to access theBitcoins contained in the wallet should the data of the app be lostTheres a separate version of this application that uses a test version of theBitcoin network deschildbachwallettestAll translations are managed via theTransifex project;https://f-droid.org/repo/de.schildbach.wallet_101500.apk;This version requires Android 8.0 or newer.;https://github.com/bitcoin-wallet/bitcoin-wallet;https://github.com/bitcoin-wallet/bitcoin-wallet/issues;10.15;view network connections <-> pair with Bluetooth devices <-> connect to paired Bluetooth devices <-> take pictures and videos <-> run foreground service <-> run foreground service with the type "connectedDevice" <-> run foreground service with the type "dataSync" <-> have full network access <-> control Near Field Communication <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> control vibration <-> prevent phone from sleeping <-> 
GNU Taler Point-of-Sale;https://f-droid.org/en/packages/net.taler.merchantpos/index.html;The GNU Taler merchant POS point of sale terminal allows sellers to process customers orders by adding or removing products calculate the amount owed by the customer let the customer make a Taler payment via QR code or NFC;https://f-droid.org/repo/net.taler.merchantpos_7.apk;This version requires Android 5.0 or newer.;https://git.taler.net/taler-android.git/;https://bugs.gnunet.org/;0.2.5;view network connections <-> have full network access <-> control Near Field Communication <-> net.taler.merchantpos.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Peercoin Wallet;https://f-droid.org/en/packages/com.coinerella.peercoin/index.html;Send and receive Peercoin the first ProofofStake cryptocurrency on your phoneKeep your wallet seed protected This app comes with absolutely no warranty Use at own riskFeatures Based on electrum protocol Send and receive peercoin Ready to transact after installation no waiting Peercoin and Peercoin testnet wallets Address book management Import paper wallets Import  export private keys WIF Server management Multilanguage support Background notificationsKnown limitations can be found in the Github repository;https://f-droid.org/repo/com.coinerella.peercoin_143.apk;This version requires Android 8.0 or newer.;https://github.com/peercoin/peercoin_flutter;https://github.com/peercoin/peercoin_flutter/issues;1.3.0;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> show notifications <-> read the contents of your shared storage <-> read phone status and identity <-> run at startup <-> record audio <-> Schedule precisely timed actions <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> com.coinerella.peercoin.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Monly;https://f-droid.org/en/packages/org.asafonov.monly/index.html;Monly is an awesome budget planner It supports transactions loggingbudgets reports synchronization across your devices and a lot of other featuresMonly is distributed so every device has its own copy of data You may loosea device but not your data;https://f-droid.org/repo/org.asafonov.monly_47.apk;This version requires Android 8.1 or newer.;https://github.com/asafonov/monly.apk;https://github.com/asafonov/monly.apk/issues;2.9;have full network access <-> read the contents of your shared storage <-> modify or delete the contents of your shared storage <-> 
Nighthawk Wallet;https://f-droid.org/en/packages/com.nighthawkapps.wallet.android/index.html;Nighthawk is a Shieldedbydefault light wallet with support sending  receiving shielded transactions memo support  optional Taddresses support with AutoShielding technologyShielded by Default Autoshielding moves funds from transparent addresses to the shielded poolPowered by Native Mobile SDKs Standardized SDKs with accurate protocol specification for a seamless experiencePrivacy Preserving Nighthawk wallet ensures funds can only be sent via your Shielded AddressNighthawk is a lightwallet Requires trust in the lightwalletd server for displaying accurate transaction informationSelfcustody Take sole responsibility for your funds on Nighthawk Securely backup seed words immediatelySwap ZEC via SideShiftai  StealthExio Easily exchange ZEC for supported cryptocurrencies KYC Terms  Conditions applyUnstoppable Domains Support Optin to UNS support under Settings  External Services for worryfree ZEC transactionsPIN protection Set a 6 digit pin and even enable Face IdTouch Id to open the walletExport Seed Words to PDF Securely generate a passwordprotected PDF with wallet seed words for backing up on a secure platform of your choiceNeed Help Connect with us via X NighthawkWallet or httpsnighthawkwalletcom for emailNOTE As a light wallet the app requires trust in the lightwalletd server to display accurate transaction information You can change the default lightwalletd server under Profile  Settings The servers are not operated by Nighthawk and the privacy of communication and broadcasting transactions cannot be guaranteed We recommend using a VPN or Tor for enhanced privacy before making transactionsTROUBLESHOOTING In case of issues with syncing or missing transactions please try the Rescan Wallet optionThis software is provided as is without warranty of any kind express or implied;https://f-droid.org/repo/com.nighthawkapps.wallet.android_20214800.apk;This version requires Android 8.1 or newer.;https://github.com/nighthawk-apps/nighthawk-android-wallet;https://github.com/nighthawk-apps/nighthawk-wallet-android/issues;2.2.14;view network connections <-> take pictures and videos <-> run foreground service <-> have full network access <-> show notifications <-> run at startup <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> prevent phone from sleeping <-> com.nighthawkapps.wallet.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Invoice Ninja;https://f-droid.org/en/packages/com.invoiceninja.app/index.html;200000 businesses trust Invoice Ninja And its 100 freeCreate invoices track payments vendors expenses and time billabletasks  projects Invoicing Quotes Credits Payments Product Library Client Management Project  Task Management TimeTracking Full Persistence 2FA Google LoginPro  Enterprise Highlights Unlimited Clients Invoices Quotes Email invoices  quotes via your Gmail account Attach  embed 3rd party files to client invoices  emailsIntuitive business dashboard View revenue invoices sent recent activity data Track upcoming invoices invoices past due moreInvoice Clients in seconds Create clients and send an invoices in seconds Create subscriptions recurring invoices payment profiles Send Invoices  quotes directly via your Gmail account Product library system to quickly populate invoices  quotesClients pay faster Accept credit cards ACH payments PayPal  more Clients pay directly from their invoice with the click of a buttonNotifications keep you uptodate Receive app and email notifications when client view or paid View instant data updates when payments are made Automate payment reminders  past due notificationsTimetracking Tasks Kanban Boards The feel of desktop software but with the power of a webbased app Create projects time billabletasks monitor progress in kanban boardsIntegration Platforms Streamline workflow with Zapier Integromat  more Selfhost integrations with Digital Ocean Cloudron Softaculous  moreDownload the Invoice Ninja app today and start invoicing clients  get paidSelfhosting Invoice Ninja is 100 sourceavailable GitHub httpsgithubcominvoiceninjaadminportalTerms of Service httpswwwinvoiceninjacomtermsPrivacy Policy httpswwwinvoiceninjacomprivacypolicyGDPR Compliance httpswwwinvoiceninjacomgdpr;https://f-droid.org/repo/com.invoiceninja.app_160.apk;This version requires Android 4.4 or newer.;https://github.com/invoiceninja/admin-portal;https://github.com/invoiceninja/admin-portal/issues;5.0.160;directly call phone numbers <-> take pictures and videos <-> find accounts on the device <-> have full network access <-> read your contacts <-> read the contents of your shared storage <-> read image files from shared storage <-> use biometric hardware <-> use fingerprint hardware <-> modify your contacts <-> com.invoiceninja.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
AgoraDesk: buy BTC anonymously;https://f-droid.org/en/packages/com.agoradesk.app/index.html;Buy or sell Bitcoin without ID verification Cash or onlineWondering how to invest in Bitcoin On AgoraDesk purchasing bitcoins has never been easier  instantly buy BTC from a person using your favorite online payment method PayPal creditdebit card or bank transfer gift cards Venmo or any other If you want to buy bitcoins near you with cash you can find someone willing to sell bitcoins locally  the trading platform supports buying and selling BTC with cash You can even buy bitcoins using cash by mail Safe and Smooth TradingJust like LocalBitcoins we support any payment method any currency anywhere We do not remove payment methods and unlike LocalBitcoins we fully support facetoface cash trades All of our trades are protected by an arbitration bond Thanks to the fact that we require funds to be held in arbitration bond before a trade can start we ensure a smooth and safe experience for the buyer which is essential for the popularity of the platform and repeat customers for the sellers No KYCAML or ID VerificationAgoraDesk is committed to maintaining the simplicity and straightforwardness that made the original LocalBitcoins so popular We do not employ KYCAML nor do we ever plan on doing so Trusted by the CommunityOur platform has operated for over four years survived the Great Cryptocurrency Market Crash of 2018 and through its communityoriented diligent service became one of the most trusted names in the extremely skeptical cryptocurrency community Secure Open Source PrivacyCentric CensorshipResistantOur app is free and open source which ensures that many eyes are looking at the apps code to ensure that there are no security holes or privacy leaks Open sourcing our app also allows anyone to have access to our app even if a certain app repository censors the app Our app even works on phones that have Google completely blocked We value your privacy so much we donat even require you to provide an email when registeringSource code httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossIssue tracker httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossissues Stellar SupportOur support team is fast responsive and always eager to please Weave never had a support ticket that wasnat answered within 24 hours We are always easily reachable through social media we listen intently to your criticisms and we always implement good user suggestions in record timeYou can reach our support at httpsagoradeskcomsupport Fair FeesWe do not charge exorbitant fees when you deposit or withdraw Bitcoins tofrom our arbitration bond wallet There is no deposit fee and the withdrawal fee is very close to the fee youad be paying on a normal transaction;https://f-droid.org/repo/com.agoradesk.app_1393.apk;This version requires Android 6.0 or newer.;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/issues;1.1.39;view network connections <-> access Do Not Disturb <-> take pictures and videos <-> run foreground service <-> have full network access <-> show notifications <-> android.permission.READ_APP_BADGE <-> run at startup <-> Schedule precisely timed actions <-> This app can appear on top of other apps <-> use biometric hardware <-> use fingerprint hardware <-> display notifications as full screen activities on a locked device <-> control vibration <-> prevent phone from sleeping <-> com.agoradesk.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> com.anddoes.launcher.permission.UPDATE_COUNT <-> com.htc.launcher.permission.READ_SETTINGS <-> com.htc.launcher.permission.UPDATE_SHORTCUT <-> com.huawei.android.launcher.permission.CHANGE_BADGE <-> com.huawei.android.launcher.permission.READ_SETTINGS <-> com.huawei.android.launcher.permission.WRITE_SETTINGS <-> com.majeur.launcher.permission.UPDATE_BADGE <-> com.oppo.launcher.permission.READ_SETTINGS <-> com.oppo.launcher.permission.WRITE_SETTINGS <-> com.sec.android.provider.badge.permission.READ <-> com.sec.android.provider.badge.permission.WRITE <-> com.sonyericsson.home.permission.BROADCAST_BADGE <-> com.sonymobile.home.permission.PROVIDER_INSERT_BADGE <-> me.everything.badger.permission.BADGE_COUNT_READ <-> me.everything.badger.permission.BADGE_COUNT_WRITE <-> 
LocalMonero: buy XMR privately;https://f-droid.org/en/packages/co.localmonero.app/index.html;Buy or sell Monero without ID verification Cash or online Safe fast easyLocalMonero is the biggest most trusted and wellestablished P2P trading platform in the XMR community We have no KYC checks  you can simply buy Monero anonymously without ID verification with PayPal credit card gift card cash by mail or convert Bitcoin Ether USDT or any other crypto coin to Monero  our platform supports any payment method Safe and Smooth TradingWe support any payment method any currency anywhere We do not remove payment methods and we fully support facetoface cash trades All of our trades are protected by an arbitration bond Thanks to the fact that we require funds to be held in arbitration bond before a trade can start we ensure a smooth and safe experience for the buyer which is essential for the popularity of the platform and repeat customers for the sellers No KYCAML or ID VerificationLocalMonero is committed to maintaining the simplicity and straightforwardness of your trading experience We do not employ KYCAML nor do we ever plan on doing so Trusted by the CommunityOur platform has operated for over four years survived the Great Cryptocurrency Market Crash of 2018 and through its communityoriented diligent service became one of the most trusted names in the extremely skeptical Monero community Secure Open Source PrivacyCentric CensorshipResistantOur app is free and open source which ensures that many eyes are looking at the apps code to ensure that there are no security holes or privacy leaks Open sourcing our app also allows anyone to have access to our app even if a certain app repository censors the app Our app even works on phones that have Google completely blocked We value your privacy so much we donat even require you to provide an email when registeringSource code httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossIssue tracker httpsgithubcomAgoraDeskLocalMoneroagoradeskappfossissues Stellar SupportOur support team is fast responsive and always eager to please Weave never had a support ticket that wasnat answered within 24 hours We are always easily reachable through social media we listen intently to your criticisms and we always implement good user suggestions in record timeYou can reach our support at httpslocalmonerocosupport Fair FeesWe do not charge exorbitant fees when you deposit or withdraw Monero tofrom our arbitration bond wallet There is no deposit fee and the withdrawal fee is very close to the fee youad be paying on a normal transaction;https://f-droid.org/repo/co.localmonero.app_1393.apk;This version requires Android 6.0 or newer.;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss;https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/issues;1.1.39;view network connections <-> access Do Not Disturb <-> take pictures and videos <-> run foreground service <-> have full network access <-> show notifications <-> android.permission.READ_APP_BADGE <-> run at startup <-> Schedule precisely timed actions <-> This app can appear on top of other apps <-> use biometric hardware <-> use fingerprint hardware <-> display notifications as full screen activities on a locked device <-> control vibration <-> prevent phone from sleeping <-> co.localmonero.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> com.anddoes.launcher.permission.UPDATE_COUNT <-> com.htc.launcher.permission.READ_SETTINGS <-> com.htc.launcher.permission.UPDATE_SHORTCUT <-> com.huawei.android.launcher.permission.CHANGE_BADGE <-> com.huawei.android.launcher.permission.READ_SETTINGS <-> com.huawei.android.launcher.permission.WRITE_SETTINGS <-> com.majeur.launcher.permission.UPDATE_BADGE <-> com.oppo.launcher.permission.READ_SETTINGS <-> com.oppo.launcher.permission.WRITE_SETTINGS <-> com.sec.android.provider.badge.permission.READ <-> com.sec.android.provider.badge.permission.WRITE <-> com.sonyericsson.home.permission.BROADCAST_BADGE <-> com.sonymobile.home.permission.PROVIDER_INSERT_BADGE <-> me.everything.badger.permission.BADGE_COUNT_READ <-> me.everything.badger.permission.BADGE_COUNT_WRITE <-> 
Het Saldo;https://f-droid.org/en/packages/dev.maartje.hetsaldo/index.html;Het Saldo is a De Lijn smartcard saldo checkerIt allows you to easily keep track of the remaining trips on your De Lijn tickets The app lets you add multiple tickets and syncs their status and remaining balance for you to check;https://f-droid.org/repo/dev.maartje.hetsaldo_4.apk;This version requires Android 4.4 or newer.;https://gitlab.com/meyskens/het-saldo;https://gitlab.com/meyskens/het-saldo/-/issues;1.2.0;have full network access <-> dev.maartje.hetsaldo.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
BTC Map;https://f-droid.org/en/packages/org.btcmap/index.html;Main Features See where you can spend your bitcoins Encourage local business to accept bitcoins by buying their goods and services Easily add new places or edit existing ones via OpenStreetMap Smooth and snappy user experience even on the older and cheaper devices Enjoy modern and minimalistic Material Design Both light and dark themes are supported This is an open source app which respects your privacy;https://f-droid.org/repo/org.btcmap_50.apk;This version requires Android 8.1 or newer.;https://github.com/teambtcmap/btcmap-android;https://github.com/teambtcmap/btcmap-android/issues;0.7.3;access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> run foreground service <-> have full network access <-> show notifications <-> run at startup <-> prevent phone from sleeping <-> org.btcmap.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Mat-O-Id;https://f-droid.org/en/packages/de.box2code.matoid/index.html;You and your colleagues have a cash register for beverages in office or club  Tired of paying with coins  Why dont use cheap RFIDTagsAll you need is a cheap tablet that can do USBOTG a cardreader and some tokensLooks good on tablets bigger or equal 7 Sorry didnt optimize it for smaller screens when I wrote it long time agoThe first token you read in will become the MatminToken that can change the priceand shows the status of the cash register;https://f-droid.org/repo/de.box2code.matoid_2.apk;This version requires Android 4.4 or newer.;https://bitbucket.org/bobbery/matoid/src/HEAD/;https://bitbucket.org/bobbery/matoid/jira;1.0.0;
EBT New Note;https://f-droid.org/en/packages/com.marv42.ebt.newnote/index.html;With the EBT New Note app you can enter Euro bill note data and submit them to EuroBillTrackerEuroBillTracker is a project for tracking Euro bill notesIt comprises a website wwweurobilltrackercom a Euro bill note database a EuroBillTracker API a community with a user forum forumeurobilltrackercom etcThis app includes features as follows Submit Euro bill note data to the EuroBillTracker database using the EuroBillTracker API Take a picture of the Euro bill and get the serial number extracted Get the location data country city postal code just by tapping the location button Receive comments recommendations based on previously submitted comments for the same location Edit unsuccessfully submitted data for resubmission Show successfully submitted bills on the EBT web site;https://f-droid.org/repo/com.marv42.ebt.newnote_7700.apk;This version requires Android 12 or newer.;https://github.com/marv42/EbtNewNote;https://github.com/marv42/EbtNewNote/issues;0.77.0;access approximate location only in the foreground <-> access precise location only in the foreground <-> take pictures and videos <-> have full network access <-> show notifications <-> read the contents of your shared storage <-> control vibration <-> com.marv42.ebt.newnote.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
OpenMoneyBox;https://f-droid.org/en/packages/com.igisw.openmoneybox/index.html;OpenMoneyBox is an application designed to manage small personal money budgets in the easiest way;https://f-droid.org/repo/com.igisw.openmoneybox_60.apk;This version requires Android 5.0 or newer.;https://gitlab.com/igi0/openmoneybox;https://gitlab.com/igi0/openmoneybox/issues;3.4.2.10;access approximate location only in the foreground <-> access precise location only in the foreground <-> have full network access <-> android.permission.MANAGE_EXTERNAL_STORAGE <-> show notifications <-> read your contacts <-> read the contents of your shared storage <-> run at startup <-> This app can appear on top of other apps <-> use biometric hardware <-> use fingerprint hardware <-> modify or delete the contents of your shared storage <-> 
MoLe;https://f-droid.org/en/packages/net.ktnx.mobileledger/index.html;Work with your hledgerweb instance convenientlyhledgerweb is a web interface to hledger  a plain text based accounting systemMoLe from Mobile Ledger is a convenient frontend to hledgerweb providing more natural interface for mobile devicesFeaturesHierarchical list of accounts with their current balanceTransaction list with filtersInput of new transactionsCurrencycommodity supportPertransaction and perposting commentsMultiple backends optionally with custom colorTransaction templates matched by QR codeThe development is still ongoing heres a list of some of the planned featuresReportsMore filters for the transaction list searchMatch transaction templates from clipboard or SMS eg from your bank;https://f-droid.org/repo/net.ktnx.mobileledger_56.apk;This version requires Android 5.1 or newer.;https://git.ktnx.net/?p=mobile-ledger.git;None;0.21.7;have full network access <-> 
NanoLedger;https://f-droid.org/en/packages/be.chvp.nanoledger/index.html;NanoLedger is a data entry app for plain text accounting It supports the ledger and hledger syntaxYou can view all transactions in a file and easily add a new one While adding autocompletion is supported for payee note and account names;https://f-droid.org/repo/be.chvp.nanoledger_20100.apk;This version requires Android 5.0 or newer.;https://github.com/chvp/NanoLedger;https://github.com/chvp/NanoLedger/issues;20100;be.chvp.nanoledger.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Lightning Address to Invoice;https://f-droid.org/en/packages/ua.com.radiokot.lnaddr2invoice/index.html;Some popular Bitcoin Lightning wallets like Muun dont support emaillike Lightning addresses This app allows paying to such addresses by turning them to convenient invoicesTo use the app click on the Lightning address link like tip or zap in Nostr and select LN Address to Invoice app Follow the instructions and then pay the invoice with your favorite wallet The app doesnt add any extra fee to your payment;https://f-droid.org/repo/ua.com.radiokot.lnaddr2invoice_5.apk;This version requires Android 5.0 or newer.;https://github.com/Radiokot/ln-addr-to-invoice;https://github.com/Radiokot/ln-addr-to-invoice/issues;5;have full network access <-> ua.com.radiokot.lnaddr2invoice.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Encointer Wallet;https://f-droid.org/en/packages/org.encointer.wallet/index.html;The Encointer wallet is your tool to participate in local communitiy currencies to perform Encointer keysigning ceremonies and receive your universal basic income The wallet keeps custody of your accounts private keys and allows you to transfer funds to other users send and receive encointer local currencies register for ceremonies perform ceremony meetupsPlease try our tutorials Encointer Book;https://f-droid.org/repo/org.encointer.wallet_879.apk;This version requires Android 5.0 or newer.;https://github.com/encointer/encointer-wallet-flutter;https://github.com/encointer/encointer-wallet-flutter/issues;1.12.1;view network connections <-> take pictures and videos <-> android.permission.FLASHLIGHT <-> have full network access <-> show notifications <-> use biometric hardware <-> use fingerprint hardware <-> control vibration <-> org.encointer.wallet.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Taler Cashier;https://f-droid.org/en/packages/net.taler.cashier/index.html;The GNU Taler Cashier app allows you to take in physical cash and handelectronic Taler cash in exchange This is useful for regional ororganizational currencies;https://f-droid.org/repo/net.taler.cashier_3.apk;This version requires Android 6.0 or newer.;https://git.taler.net/taler-android.git/;https://bugs.gnunet.org/;0.3;view network connections <-> have full network access <-> control Near Field Communication <-> net.taler.cashier.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Coin Collection;https://f-droid.org/en/packages/com.spencerpages/index.html;Coin Collection helps people keep track of the coins they have or are missing for a variety of US coin sets Many of the more recent US coin sets are supported see list below and the app can be used to track quantities grades and notes for each coinSupported US coin sets include American Eagle Silver Dollars American Innovation Dollars American Women Quarters Barber Dimes Barber Half Dollars Barber Quarters Buffalo Nickels Eisenhower Dollars First Spouse Gold Coins Franklin Half Dollars Indian Head Cents Jefferson Nickels Kennedy HalfDollars Liberty Head Nickels Lincoln Cents Mercury Dimes Morgan Dollars National Park Quarters Native AmericanSacagawea Dollars Peace Dollars Presidential Dollars Roosevelt Dimes Standing Liberty Quarters State Quarters including DC and Territories Susan B Anthony Dollars Walking Liberty Half Dollars Washington QuartersFind us on GitHub to report issue request features and to follow progressThis App is not endorsed by the United States MintUnited States coin images from the United States MintQuarterdollar coin images from the United States MintMercury Dime images Buffalo Nickel reverse image and Peace Dollar images courtesy of CCF NumismaticsIndian Head Cent images Walking Liberty Half Dollar images Morgan Dollar images Buffalo Nickel obverse image Liberty Head Nickel images Barber Quarter images and Barber Half Dollar images courtesy of Brandon GrossardtStanding Liberty Quarter images and Franklin Half Dollar images courtesy of John Baumgart;https://f-droid.org/repo/com.spencerpages_31.apk;This version requires Android 4.0 or newer.;https://github.com/anwilli5/coin-collection-android-US;https://github.com/anwilli5/coin-collection-android-US/issues;3.6.0;read the contents of your shared storage <-> modify or delete the contents of your shared storage <-> com.spencerpages.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Varengold activeTAN;https://f-droid.org/en/packages/de.varengold.activeTAN/index.html;activeTAN is the secure and modern TAN process for your online bankingWith the activeTAN app you can approve transactions comfortably on yoursmartphoneThe fast data transfer via QR code enables an easy twofactor authenticationthat works everywhere at all times;https://f-droid.org/repo/de.varengold.activeTAN_47.apk;This version requires Android 6.0 or newer.;https://github.com/varengold/activeTAN-Android;https://github.com/varengold/activeTAN-Android/issues;2024-02-05;take pictures and videos <-> have full network access <-> use biometric hardware <-> use fingerprint hardware <-> de.varengold.activeTAN.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Play Deals;https://f-droid.org/en/packages/me.sujanpoudel.playdeals/index.html;Play Deals helps you to find the latest app deals and discounts on paid apps You can find paid apps that are now free to download or have a discountFeaturesa Clean design with support for night modea New apps are added constantlya Apps are checked for expiration so youll only see valid appsa Filter apps by their categoriesa Find app price dealsa Share the app deal you knowa Get notifications for every app dealsa Add deals for the app you knowActual prices may vary slightly depending on your locationNote This is not an app store you cant download APK or anything from this app It only provides you with the link for the corresponding appIf you have any suggestions or feedback please contact me at feedbacksujanpoudelme;https://f-droid.org/repo/me.sujanpoudel.playdeals_33.apk;This version requires Android 8.0 or newer.;https://github.com/psuzn/Play-Deals;https://github.com/psuzn/Play-Deals/issues;2.2.1;have full network access <-> show notifications <-> me.sujanpoudel.playdeals.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Simple Money Tracker;https://f-droid.org/en/packages/com.xvzan.simplemoneytracker/index.html;A simple personal accounting app designed to make it easy to keep track of your income and expenses on your Android deviceFeaturesFast and easy entry and editing of income and expensesSummary balance sheet and incomeexpense statement shows you where you stand on selected periodEasy reconciliation with your bank statementsImportExport csv files;https://f-droid.org/repo/com.xvzan.simplemoneytracker_20240126.apk;This version requires Android 7.0 or newer.;https://github.com/xvzan/SimpleMoneyTracker;https://github.com/xvzan/SimpleMoneyTracker/issues;0.8.10;com.xvzan.simplemoneytracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Inflation Calculator;https://f-droid.org/en/packages/fr.corenting.convertisseureurofranc/index.html;This inflation calculator allows you to calculate the buying power in a specified year of any amount of money to an equivalent amount in another year by taking into account the inflation rate between these two yearsIt supports the following countries USA from 1913 to 2023 UK from 1800 to 2023 France from 1901 to 2023 South Korea from 1965 to 2023To achieve this this application uses data from various sources USA Bureau of Labor Statistics Historical CPIU httpswwwblsgovcpi UK Office for National Statistics httpswwwonsgovukeconomyinflationandpriceindicestimeseriescdkomm23 France INSEE httpswwwinseefrfrstatistiquesserie010605954 South Korea Statistics Korea Consumer Price Inflation Rate  ie1ie14eii1e  httpswwwindexgokrunitypotalindicatorPotalIdxSearchdoidxCd4226sttsCd422601clasdividxsyscd;https://f-droid.org/repo/fr.corenting.convertisseureurofranc_26.apk;This version requires Android 4.4 or newer.;https://github.com/corenting/InflationCalculator;https://github.com/corenting/InflationCalculator/issues;2.17;
