words.hk ç²µå¸;https://f-droid.org/en/packages/hk.words.wordshk/index.html;Wordshk is an open Cantonese dictionary for users with various backgrounds whether you are a Cantonese beginner or native speakerFeatures1 Search in English Cantonese Jyutping or Yale2 Listen to pronunciations for words and example sentences3 Bilingual dictionary contents in both English and Cantonese;https://f-droid.org/repo/hk.words.wordshk_31.apk;This version requires Android 10 or newer.;https://github.com/AlienKevin/wordshk_app;https://github.com/AlienKevin/wordshk_app/issues;3.3.1;view network connections <-> have full network access <-> hk.words.wordshk.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
taz;https://f-droid.org/en/packages/de.taz.android.app.free/index.html;Reader for subscribers of the german daily newspaper taz die tageszeitungPlease note that the language of the app is german;https://f-droid.org/repo/de.taz.android.app.free_10901900.apk;This version requires Android 5.0 or newer.;https://github.com/die-tageszeitung/taz-neo;https://github.com/die-tageszeitung/taz-neo/issues;1.9.1;view network connections <-> run foreground service <-> run foreground service with the type "mediaPlayback" <-> have full network access <-> show notifications <-> read the contents of your shared storage <-> run at startup <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> de.taz.android.app.free.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
TourCount;https://f-droid.org/en/packages/com.wmstein.tourcount/index.html;TourCount supports speciesspecific and individually GPSlocalized registering of butterflies Features Data recording is organized for a regional tour with its expected butterfly species The app comes with a prepared basic database with the most common species in Europe as a starting point Databases can be individually created and adapted within the app regarding meta data and expected butterfly species You may use an individual species list per region The app contains an editor to setup or adapt the current species list Add new species to the list by scrolldownselection from a comprehensive internal species list  There is an editor to prepare the meta data for a tour and an editor for individual species data of a count eg state remark or bulk count entry Species can be selected per scrolldownmenu with butterfly names and pictures on the counting page The counting page has 6 separate counters for a or a a a pupa larva or egg The app automatically inserts date time coordinates and height as well as location data by reverse OSMgeocoding provided that GPS and internet are accessible Results are prepared for easy readout to transfer them to the science4you entry mask for butterfly registration Results are shown with meta data totals remarks species results and individual data Results may be exported in SQLite or CSVformat for transfer to a PC for your own processing eg in a spreadsheet Help contains a detailed userguide TourCount uses the European coding scheme for butterflies from KarsholtRazowskiPrerequisitesThe app demands for  storage access permit which is needed for imexporting the counting data  GPS Location permit for coordinates and location info per count  internet access for OpenStreetMap reverse geocoding requests  the permit to write settings for setting the screen brightness the permit to keep the device awake and to switch off the counting screen when the phone is pocketedThe smartphone screen should have a minimum resolution of 1920 x 1024 pixels The app is usable with Android version 71 Nougat or newerDocumentation is provided under  httpsgithubcomwisteinTourCounttreemasterdocsTourCount is one of two apps for European butterfly monitoring The 2nd app TransektCount serves transect counters on their inspection walks It supports speciesspecific counting of butterflies per transect section according to the European Butterfly Monitoring Scheme methodBoth apps use the coding scheme of KarsholtRazowski for European butterflies and thus contain only European butterfly pictures;https://f-droid.org/repo/com.wmstein.tourcount_349.apk;This version requires Android 7.1 or newer.;https://github.com/wistein/TourCount;https://github.com/wistein/TourCount/issues;3.4.9;access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> run foreground service <-> have full network access <-> android.permission.MANAGE_EXTERNAL_STORAGE <-> read the contents of your shared storage <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> com.wmstein.tourcount.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
VPT#003-GDP;https://f-droid.org/en/packages/v4lpt.vpt.f003.gdp/index.html;Gesture Drawing PracticeVPT003GDPThis is Gesture Drawing Practice an open source app for artists and alike to display pictures for a set amount of time Features select multiple pictures order gets preserveda2i  choose from 4 different time options for the images   choose from 4 different pause options   adjust the visibility and appearance of the timer UsageYou click the big red buttonYou select your picturesYou change the settingsYou click Start Session and start drawing Created with ai  by ValentinTags Diashow Timer Art Picture Gesture Drawing Gesture Painting gestures practice art practice;https://f-droid.org/repo/v4lpt.vpt.f003.gdp_100.apk;This version requires Android 7.0 or newer.;https://github.com/v4lpt/GDP;https://github.com/v4lpt/GDP/issues;1.0.0;v4lpt.vpt.f003.gdp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Tux Paint;https://f-droid.org/en/packages/org.tuxpaint/index.html;Tux Paint is a free awardwinning drawing program for children ages 3 to 12 for example preschool and K6 Tux Paint is used in schools around the world as a computer literacy drawing activity It combines an easytouse interface fun sound effects and an encouraging cartoon mascot who guides children as they use the program;https://f-droid.org/repo/org.tuxpaint_9330.apk;This version requires Android 5.0 or newer.;https://github.com/tux4kids/Tuxpaint-Android;https://sourceforge.net/p/tuxpaint/bugs/?source=navbar;0.9.33;pair with Bluetooth devices <-> connect to paired Bluetooth devices <-> read the contents of your shared storage <-> read image files from shared storage <-> modify or delete the contents of your shared storage <-> org.tuxpaint.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
solXpect;https://f-droid.org/en/packages/org.woheller69.solxpect/index.html;solXpect forecasts the output of your photovolatic system PVThis app takes direct and diffuse radiation data from OpenMeteocom calculates the position of the sun and projects the radiation on your solar panelIt shows the estimated energy production for the next hours and up to 16 daysFeatures Ideal for balcony power plants Hourly and daily forecasts for the output for up to 16 days 100 privacy no advertisementsMinimum permissionssolXpect only requires the minimum amount of permission namely only the INTERNET permission This permission is necessary for retrieving weather data;https://f-droid.org/repo/org.woheller69.solxpect_25.apk;This version requires Android 8.0 or newer.;https://github.com/woheller69/solxpect;https://github.com/woheller69/solxpect/issues;2.5;have full network access <-> read the contents of your shared storage <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> 
Aard 2;https://f-droid.org/en/packages/itkach.aard2/index.html;Aard 2 for Android is a successor to aarddictandroid It comes withredesigned user interface bookmarks history and a better dictionary storageformat;https://f-droid.org/repo/itkach.aard2_58.apk;This version requires Android 4.4 or newer.;https://github.com/itkach/aard2-android;https://github.com/itkach/aard2-android/issues;0.58;view network connections <-> have full network access <-> 
Tournant;https://f-droid.org/en/packages/eu.zimbelstern.tournant/index.html;Tournant serves your favorite dishes on your Android deviceWith Tournant you can manage your recipes for cooking and baking You can sync the app with a recipe file from Gourmand Recipe Manager previously known as Gourmet or use Tournant as a standalone recipe managerFeaturesCreate and edit recipesImport und export XML files GourmandSync with an XML file on the Android deviceSearch in recipes and categoriesShare recipesScale ingredient listsVisit the website for documentationhttpstournantzimbelsterneu;https://f-droid.org/repo/eu.zimbelstern.tournant_25.apk;This version requires Android 5.0 or newer.;https://github.com/zimbelstern/Tournant;https://github.com/zimbelstern/Tournant/issues;2.8.0;set an alarm <-> eu.zimbelstern.tournant.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Celestia;https://f-droid.org/en/packages/space.celestia.mobilecelestia/index.html;Celestia a realtime 3D visualization of spaceNote this is an unofficial version of Celestia It may be slow to update or miss some features3D Space Simulator  Celestia lets you explore our universe in three dimensionsCelestia simulates many different types of celestial objects From planets and moons to star clusters and galaxies you can visit every object in the expandable database and view it from any point in space and time The position and movement of solar system objects is calculated accurately in real time at any rate desiredInteractive Planetarium  Celestia serves as a planetarium a for an observer on any celestial objectYou can easily navigate to any world and land on its surface When used as a planetarium Celestia shows accurate positions of solar system objects in the sky You can switch labels and other supporting features on and off with hotkeys or zoom in and out on an object of interest for example Jupiteras system of moonsExpandable Content  Customize Celestia according to your needsCelestiaas catalogues can be easily expanded There are many different addons available containing new objects like comets or stars highresolution textures of Earth and other well mapped solar system bodies as well as 3D models for asteroids and spacecraft on precise trajectories Even fictional objects from wellknown scifi franchises can be found;https://f-droid.org/repo/space.celestia.mobilecelestia_535.apk;This version requires Android 5.0 or newer.;https://github.com/celestiamobile/AndroidCelestia/;https://github.com/celestiamobile/AndroidCelestia/issues/;1.7.3;have full network access <-> space.celestia.mobilecelestia.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
OpenAthenaâ¢ for Android;https://f-droid.org/en/packages/com.openathena/index.html;OpenAthenaa is a project that enables consumer and professional drones to identify precise locations based on their imagesThis is achieved by combining their sensor metadata with an offline digital elevation model to provide the instant location of the observed14i     ai    Use this link for instructions on how to obtain an OpenTopography API key required for OpenAthena;https://f-droid.org/repo/com.openathena_41.apk;This version requires Android 9.0 or newer.;https://github.com/Theta-Limited/OpenAthenaAndroid;None;0.21.0;access approximate location only in the foreground <-> access precise location only in the foreground <-> read locations from your media collection <-> view Wi-Fi connections <-> allow Wi-Fi Multicast reception <-> have full network access <-> read the contents of your shared storage <-> read image files from shared storage <-> modify or delete the contents of your shared storage <-> com.openathena.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
