OSM Dashboard for OpenTracks;https://f-droid.org/en/packages/de.storchp.opentracks.osmplugin/index.html;An OpenStreetMap dashboard for OpenTracksIt shows a selected track with start and endpoints on a map from OpenStreetMap based on the Mapsforge libraryThe default is an online map but offline maps are supported as well With offline maps there is no necessity for a mobile data planThe default map is provided by OpenStreetMaporgJoin the community and help to improve the map see wwwopenstreetmaporgfixthemapPlease consider downloading an offline map to decrease the server load and save your mobile data planSome offline maps can be found here Mapsforge Freizeitkarte Android OpenAndroMapsSome maps require special themes to render correctly These need to be downloaded and configured accordinglyOffline maps can be downloaded via the menu Map download or by visiting the above mentioned websites and click the download links Some browsers eg Firefox require a long click on the link and Open link in external app and then choose OSMDashboardManual downloaded offline maps or maps shared with other apps can be opened from your Android device Select the directory in the menu Map directory;https://f-droid.org/repo/de.storchp.opentracks.osmplugin_43.apk;This version requires Android 8.0 or newer.;https://github.com/OpenTracksApp/OSMDashboard;https://github.com/OpenTracksApp/OSMDashboard/issues;4.2.0;have full network access <-> de.storchp.opentracks.osmplugin.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
OSM Dashboard Offline for OpenTracks;https://f-droid.org/en/packages/de.storchp.opentracks.osmplugin.offline/index.html;An OpenStreetMap dashboard for OpenTracksIt shows a selected track with start and endpoints on a map from OpenStreetMap based on the Mapsforge libraryThe default is an online map but offline maps are supported as well With offline maps there is no necessity for a mobile data planThe default map is provided by OpenStreetMaporgJoin the community and help to improve the map see wwwopenstreetmaporgfixthemapPlease consider downloading an offline map to decrease the server load and save your mobile data planSome offline maps can be found here Mapsforge Freizeitkarte Android OpenAndroMapsSome maps require special themes to render correctly These need to be downloaded and configured accordinglyOffline maps can be downloaded via the menu Map download or by visiting the above mentioned websites and click the download links Some browsers eg Firefox require a long click on the link and Open link in external app and then choose OSMDashboardManual downloaded offline maps or maps shared with other apps can be opened from your Android device Select the directory in the menu Map directory;https://f-droid.org/repo/de.storchp.opentracks.osmplugin.offline_43.apk;This version requires Android 8.0 or newer.;https://github.com/OpenTracksApp/OSMDashboard;https://github.com/OpenTracksApp/OSMDashboard/issues;4.2.0;de.storchp.opentracks.osmplugin.offline.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
OpenTracks;https://f-droid.org/en/packages/de.dennisguse.opentracks/index.html;A sport tracking buddy that respects your privacySport and outdoor activities grants happiness skill and confidenceValue your health by keeping track on your trainingRecords as you go running or walking and gives you a bike computer with a bigger screen for cyclingMark interesting locations along your way with picturesKeep recorded statistics in great detail for analysisShare only the data you want others to have Voice announcements Supports Bluetooth LE sensors heart rate speed and distance cycling cadence cycling and power meter cycling Altitude gain and loss via barometric sensor Altitude shown in EGM2008 above mean sea level exported as WGS84 Export data as tracks either as KMZ incl photos KML or GPX No Internet access or extra permissions Dark and light theme respecting system settings No adsLibre software  Free Software  Open Sourcemeaning you can use study change and share the source codeLicensed Apache 20;https://f-droid.org/repo/de.dennisguse.opentracks_5837.apk;This version requires Android 8.0 or newer.;https://github.com/OpenTracksApp/OpenTracks;https://github.com/OpenTracksApp/OpenTracks/issues;v4.13.0;access approximate location only in the foreground <-> access precise location only in the foreground <-> pair with Bluetooth devices <-> access Bluetooth settings <-> connect to paired Bluetooth devices <-> discover and pair nearby Bluetooth devices <-> run foreground service <-> run foreground service with the type "connectedDevice" <-> run foreground service with the type "location" <-> show notifications <-> control vibration <-> prevent phone from sleeping <-> de.dennisguse.opentracks.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
MedTimer;https://f-droid.org/en/packages/com.futsch1.medtimer/index.html;Med reminders and history with full offline privacyStay In Control of Your Medications with MedTimerMedTimer is an opensource medication reminder app designed to help you manage your medications and pills effectively and with full control of your sensitive dataFlexible  Personalized Reminders Manage unlimited medications with customizable reminders per medication including simple defaults for daily reminders Create flexible reminders with breaks and specific days eg for birth control pills Weekend mode Delay reminders to a defined time on chosen days Snooze notifications for later reminders Add extra doses on the flySimple  Secure Data Management Confirm or dismiss reminders to record medication adherence accurately Get an overview of past doses in a chart and a tabular view Export your medication history as a CSV file for easy recordkeeping or sharing with healthcare professionals Backup and restore your medication list as JSON filePrivacy  Offline Accessibility All data is stored securely on your device ensuring complete privacy and offline accessibility No internet connection required a your medication reminders are always availableMedTimer is a free app without addsSee the project page on GitHub httpsgithubcomFutsch1medTimer;https://f-droid.org/repo/com.futsch1.medtimer_68.apk;This version requires Android 13 or newer.;https://github.com/Futsch1/medTimer;https://github.com/Futsch1/medTimer/issues;1.9.2;run foreground service <-> show notifications <-> run at startup <-> Schedule precisely timed actions <-> prevent phone from sleeping <-> com.futsch1.medtimer.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> com.futsch1.medtimer.NOTIFICATION_PROCESSED <-> 
Pilldroid;https://f-droid.org/en/packages/net.foucry.pilldroid/index.html;Why for french people only          Pilldroid uses a prescription database from the French government website with prescriptions which are refund by french health care national insurance SAcuritA Sociale What is Pilldroids license          Pilldroid is distributed under the BSD 3Clause revised license;https://f-droid.org/repo/net.foucry.pilldroid_350.apk;This version requires Android 8.0 or newer.;https://github.com/jfoucry/pilldroid;None;v0.350-beta;access Do Not Disturb <-> take pictures and videos <-> show notifications <-> run at startup <-> Schedule precisely timed actions <-> control vibration <-> set an alarm <-> net.foucry.pilldroid.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Fridgey;https://f-droid.org/en/packages/lying.fengfeng.foodrecords/index.html;An app for recording foods which allows you to easily enter the photos names production dates and shelf life of foods the app will help you sort the foods according to when they are about to expire and will send you notifications to remind you to deal with them when the foods are about to expire if you need;https://f-droid.org/repo/lying.fengfeng.foodrecords_8.apk;This version requires Android 8.0 or newer.;https://github.com/NielsLee/FoodRecords;https://github.com/NielsLee/FoodRecords/issues;1.7;view network connections <-> take pictures and videos <-> run foreground service <-> show notifications <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> lying.fengfeng.foodrecords.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
plees-tracker;https://f-droid.org/en/packages/hu.vmiklos.plees_tracker/index.html;Plees Tracker is a simple sleep tracker for your Android phoneThis is meant to be a very simple open source clone of PrimeNap ie just track sleep startstop times and count the average  dayFeatures It literally does nothing while you sleep causes no battery drain Stores past sleeps counts stat from them average Exportsimports sleep data tofrom CSV Can show past sleeps can selectively edit and delete individual sleeps;https://f-droid.org/repo/hu.vmiklos.plees_tracker_58.apk;This version requires Android 6.0 or newer.;https://github.com/vmiklos/plees-tracker;https://github.com/vmiklos/plees-tracker/issues;24.2.6;access Do Not Disturb <-> run foreground service <-> run foreground service with the type "specialUse" <-> show notifications <-> Read calendar events and details <-> add or modify calendar events and send email to guests without owners' knowledge <-> hu.vmiklos.plees_tracker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
wger Workout Manager;https://f-droid.org/en/packages/de.wger.flutter/index.html;From fitness lovers to fitness lovers a get your health organized with WGER your Workout ManagerHave you already found your 1 fitness app and do you love to create your own sports routines No matter what type of sporty beast you are a we all have something in common We love to keep track of our health data 3So we donat judge you for still managing your fitness journey with your handy little workout log book but welcome to 2024We have developed a 100 free digital health and fitness tracker app for you sized down to the most relevant features to make your life easier Get started keep training and celebrate your progresswger is an Open Source project and all about Your Body Your Workouts Your Progress Your DataYour BodyNo need to google for the ingredients of your favourite treats a choose your daily meals from more than 78000 products and see the nutritional values Add meals to the nutritional plan and keep an overview of your diet in the calendarYour WorkoutsYou know what is best for your body Create your own workouts out of a growing variety from 200 different exercises Then use the Gym Mode to guide you through the training while you log your weights with one tapYour ProgressNever lose sight of your goals Track your weight and keep your statisticsYour Datawger is your personalized fitness diary a but you own your data Use the REST API to access and do amazing things with itPlease note This free app is not based on additional fundings and we donat ask you to donate money More than that it is a community project which is growing constantly So be prepared for new features anytimeOpenSource a what does that meanOpen Source means that the whole source code for this app and the server it talks to is free and available to anybody Do you want to run wger on your own server for you or your local gym Go ahead Do you miss a feature and want to implement it Start now Do you want to check that nothing is being sent anywhere You canJoin our community and become a part of sport enthusiasts and IT geeks from all over the world We keep working on adjusting and optimizing the app customized to our needs We love your input so feel free to jump in anytime and contribute your wishes and ideas find the source code on httpsgithubcomwgerproject ask your questions or just say hello on our discord Server httpsdiscordggrPWFv6W;https://f-droid.org/repo/de.wger.flutter_47.apk;This version requires Android 5.0 or newer.;https://github.com/wger-project/flutter;https://github.com/wger-project/flutter/issues;1.7.6;view network connections <-> take pictures and videos <-> have full network access <-> read the contents of your shared storage <-> record audio <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> de.wger.flutter.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Blood pressure monitor;https://f-droid.org/en/packages/com.derdilla.bloodPressureApp/index.html;blood pressure monitor is a reliable blood pressure measurement tracker and analyzer It has the ambition to allow saving measurements faster than anywhere else and make sharing data with you doctor effortless It works out of the box but can also be configured for individual use casesFeatures  Reliable measurement storing  Fast input through userfriendly dialogues on launch and automatic form navigation  Beautiful analytics provide insights on trends distribution differences over the day and much more  Versatile export and import CSV PDF SQLite with granular control ai  High configurability  BLE GATT input through bluetooth devices Ad free without disturbances Welldocumented opensource code;https://f-droid.org/repo/com.derdilla.bloodPressureApp_37.apk;This version requires Android 5.0 or newer.;https://github.com/NobodyForNothing/blood-pressure-monitor-fl;https://github.com/NobodyForNothing/blood-pressure-monitor-fl/issues;1.7.2;access approximate location only in the foreground <-> access precise location only in the foreground <-> pair with Bluetooth devices <-> access Bluetooth settings <-> connect to paired Bluetooth devices <-> discover and pair nearby Bluetooth devices <-> read the contents of your shared storage <-> com.derdilla.bloodPressureApp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Petals;https://f-droid.org/en/packages/br.com.colman.petals/index.html;The Open Source app Petals aims to help its users to either quit weed reduce usage or simply know how much theyre usingFeatures Track consumption Timegate your consumption Track usage See statistics to understand your consumption Damage reduction instructions Export and Import as simple CSV files Extra privacy with a personal PIN;https://f-droid.org/repo/br.com.colman.petals_327002.apk;This version requires Android 5.0 or newer.;https://github.com/LeoColman/Petals;https://github.com/LeoColman/Petals/issues;3.27.2;view network connections <-> run foreground service <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> br.com.colman.petals.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Nutrixious;https://f-droid.org/en/packages/org.ledjlale.Nutrixious/index.html;An experimental and personnal application to manage foods and physical trainings without the need of having an online accountThere are no ads and no paid servicesFoods can be retrieved from Open Food Facts by text search or from barcode scanning httpsworldopenfoodfactsorgIt will allow you to follow your physical training and carry out calorie assessments by integrating nutritional management;https://f-droid.org/repo/org.ledjlale.Nutrixious_100013.apk;This version requires Android 6.0 or newer.;https://github.com/Ledjlale/Nutrixious;https://github.com/Ledjlale/Nutrixious/issues;1.0.1;take pictures and videos <-> have full network access <-> read the contents of your shared storage <-> modify or delete the contents of your shared storage <-> org.ledjlale.Nutrixious.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
FitoTrack;https://f-droid.org/en/packages/de.tadris.fitness/index.html;FitoTrack is a mobile app for logging and viewing your workouts Whether youare running cycling or hiking FitoTrack will show you the most important information with detailed charts and statistics It is opensource and completely adfreeFeatures Track workouts Choose the type of sport you would like to track and just start running cycling or hiking for example You can see the general information right below the map on the tracking screen View your workouts View general information such as date time duration distance speed and pace See your route on a map Work out your level of performance from the speed diagram OpenSource There is neither advertisement nor tracking and the source code is open and licensed under the GPLv3;https://f-droid.org/repo/de.tadris.fitness_1560.apk;This version requires Android 5.0 or newer.;https://codeberg.org/jannis/FitoTrack;https://codeberg.org/jannis/FitoTrack/issues;15.6;access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> recognize physical activity <-> pair with Bluetooth devices <-> access Bluetooth settings <-> connect to paired Bluetooth devices <-> discover and pair nearby Bluetooth devices <-> run foreground service <-> run foreground service with the type "health" <-> run foreground service with the type "location" <-> have full network access <-> control Near Field Communication <-> show notifications <-> read the contents of your shared storage <-> run at startup <-> control vibration <-> prevent phone from sleeping <-> modify or delete the contents of your shared storage <-> de.tadris.fitness.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Nextcloud Cookbook;https://f-droid.org/en/packages/de.lukasneugebauer.nextcloudcookbook/index.html;View all your recipes stored in your Nextcloud instanceThe source code can be found on GitHub at httpsgithubcomlneugebauernextcloudcookbook Report bugs enhancement proposals and feature requests thereCurrent List all recipes List all recipes by category View recipe Stay awake on recipe screen Settings Edit recipe Add recipe Import recipe via URLPlanned Offline usage Single signon through the Nextcloud Files app Login via QRcodeA publicly accessible Nextcloud server with the latest cookbook app is required to use this app;https://f-droid.org/repo/de.lukasneugebauer.nextcloudcookbook_43.apk;This version requires Android 7.0 or newer.;https://github.com/lneugebauer/nextcloud-cookbook;https://github.com/lneugebauer/nextcloud-cookbook/issues;0.20.1;have full network access <-> control vibration <-> de.lukasneugebauer.nextcloudcookbook.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
