before;after;filename;info;rating1;rating2
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-05-03_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-05-03_after.png;2021-11-09 13-05-03;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-06-28_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-06-28_after.png;2021-11-09 13-06-28;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-07-33_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-07-33_after.png;2021-11-09 13-07-33;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-10-14_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-10-14_after.png;2021-11-09 13-10-14;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-11-23_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-11-23_after.png;2021-11-09 13-11-23;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-13-45_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-13-45_after.png;2021-11-09 13-13-45;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-14-18_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-14-18_after.png;2021-11-09 13-14-18;fragmento de mensagem desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-15-35_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-15-35_after.png;2021-11-09 13-15-35;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-16-21_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-16-21_after.png;2021-11-09 13-16-21;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-20-10_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-20-10_after.png;2021-11-09 13-20-10;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-23-45_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-23-45_after.png;2021-11-09 13-23-45;fragmento encontrar estação desaparece;Fragmento;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-24-11_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-24-11_after.png;2021-11-09 13-24-11;alterou algumas propriedades;Propriedades;True Positive
org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-25-20_before.png;org.y20k.transistor_87/dataloss/MainActivity/2021-11-09 13-25-20_after.png;2021-11-09 13-25-20;alterou algumas propriedades;Propriedades;True Positive
